,Label,Employment climate summary indicator - All sectors - Metropolitan France,Codes
0,1970-01,,
1,1970-02,,
2,1970-03,,
3,1970-04,,
4,1970-05,,
5,1970-06,,
6,1970-07,,
7,1970-08,,
8,1970-09,,
9,1970-10,,
10,1970-11,,
11,1970-12,,
12,1971-01,,
13,1971-02,,
14,1971-03,,
15,1971-04,,
16,1971-05,,
17,1971-06,,
18,1971-07,,
19,1971-08,,
20,1971-09,,
21,1971-10,,
22,1971-11,,
23,1971-12,,
24,1972-01,,
25,1972-02,,
26,1972-03,,
27,1972-04,,
28,1972-05,,
29,1972-06,,
30,1972-07,,
31,1972-08,,
32,1972-09,,
33,1972-10,,
34,1972-11,,
35,1972-12,,
36,1973-01,,
37,1973-02,,
38,1973-03,,
39,1973-04,,
40,1973-05,,
41,1973-06,,
42,1973-07,,
43,1973-08,,
44,1973-09,,
45,1973-10,,
46,1973-11,,
47,1973-12,,
48,1974-01,,
49,1974-02,,
50,1974-03,,
51,1974-04,,
52,1974-05,,
53,1974-06,,
54,1974-07,,
55,1974-08,,
56,1974-09,,
57,1974-10,,
58,1974-11,,
59,1974-12,,
60,1975-01,,
61,1975-02,,
62,1975-03,,
63,1975-04,,
64,1975-05,,
65,1975-06,,
66,1975-07,,
67,1975-08,,
68,1975-09,,
69,1975-10,,
70,1975-11,,
71,1975-12,,
72,1976-01,,
73,1976-02,,
74,1976-03,,
75,1976-04,,
76,1976-05,,
77,1976-06,,
78,1976-07,,
79,1976-08,,
80,1976-09,,
81,1976-10,,
82,1976-11,,
83,1976-12,,
84,1977-01,,
85,1977-02,,
86,1977-03,,
87,1977-04,,
88,1977-05,,
89,1977-06,,
90,1977-07,,
91,1977-08,,
92,1977-09,,
93,1977-10,,
94,1977-11,,
95,1977-12,,
96,1978-01,,
97,1978-02,,
98,1978-03,,
99,1978-04,,
100,1978-05,,
101,1978-06,,
102,1978-07,,
103,1978-08,,
104,1978-09,,
105,1978-10,,
106,1978-11,,
107,1978-12,,
108,1979-01,,
109,1979-02,,
110,1979-03,,
111,1979-04,,
112,1979-05,,
113,1979-06,,
114,1979-07,,
115,1979-08,,
116,1979-09,,
117,1979-10,,
118,1979-11,,
119,1979-12,,
120,1980-01,,
121,1980-02,,
122,1980-03,,
123,1980-04,,
124,1980-05,,
125,1980-06,,
126,1980-07,,
127,1980-08,,
128,1980-09,,
129,1980-10,,
130,1980-11,,
131,1980-12,,
132,1981-01,,
133,1981-02,,
134,1981-03,,
135,1981-04,,
136,1981-05,,
137,1981-06,,
138,1981-07,,
139,1981-08,,
140,1981-09,,
141,1981-10,,
142,1981-11,,
143,1981-12,,
144,1982-01,,
145,1982-02,,
146,1982-03,,
147,1982-04,,
148,1982-05,,
149,1982-06,,
150,1982-07,,
151,1982-08,,
152,1982-09,,
153,1982-10,,
154,1982-11,,
155,1982-12,,
156,1983-01,,
157,1983-02,,
158,1983-03,,
159,1983-04,,
160,1983-05,,
161,1983-06,,
162,1983-07,,
163,1983-08,,
164,1983-09,,
165,1983-10,,
166,1983-11,,
167,1983-12,,
168,1984-01,,
169,1984-02,,
170,1984-03,,
171,1984-04,,
172,1984-05,,
173,1984-06,,
174,1984-07,,
175,1984-08,,
176,1984-09,,
177,1984-10,,
178,1984-11,,
179,1984-12,,
180,1985-01,,
181,1985-02,,
182,1985-03,,
183,1985-04,,
184,1985-05,,
185,1985-06,,
186,1985-07,,
187,1985-08,,
188,1985-09,,
189,1985-10,,
190,1985-11,,
191,1985-12,,
192,1986-01,,
193,1986-02,,
194,1986-03,,
195,1986-04,,
196,1986-05,,
197,1986-06,,
198,1986-07,,
199,1986-08,,
200,1986-09,,
201,1986-10,,
202,1986-11,,
203,1986-12,,
204,1987-01,,
205,1987-02,,
206,1987-03,,
207,1987-04,,
208,1987-05,,
209,1987-06,,
210,1987-07,,
211,1987-08,,
212,1987-09,,
213,1987-10,,
214,1987-11,,
215,1987-12,,
216,1988-01,,
217,1988-02,,
218,1988-03,,
219,1988-04,,
220,1988-05,,
221,1988-06,,
222,1988-07,,
223,1988-08,,
224,1988-09,,
225,1988-10,,
226,1988-11,,
227,1988-12,,
228,1989-01,,
229,1989-02,,
230,1989-03,,
231,1989-04,,
232,1989-05,,
233,1989-06,,
234,1989-07,,
235,1989-08,,
236,1989-09,,
237,1989-10,,
238,1989-11,,
239,1989-12,,
240,1990-01,,
241,1990-02,,
242,1990-03,,
243,1990-04,,
244,1990-05,,
245,1990-06,,
246,1990-07,,
247,1990-08,,
248,1990-09,,
249,1990-10,,
250,1990-11,,
251,1990-12,,
252,1991-01,101.4,A
253,1991-02,100.2,A
254,1991-03,99.0,A
255,1991-04,97.9,A
256,1991-05,95.0,A
257,1991-06,91.8,A
258,1991-07,88.6,A
259,1991-08,89.1,A
260,1991-09,89.7,A
261,1991-10,90.0,A
262,1991-11,90.9,A
263,1991-12,91.1,A
264,1992-01,91.3,A
265,1992-02,90.3,A
266,1992-03,89.2,A
267,1992-04,88.7,A
268,1992-05,88.7,A
269,1992-06,89.4,A
270,1992-07,90.0,A
271,1992-08,88.5,A
272,1992-09,87.0,A
273,1992-10,84.9,A
274,1992-11,83.1,A
275,1992-12,81.6,A
276,1993-01,80.0,A
277,1993-02,80.2,A
278,1993-03,80.4,A
279,1993-04,79.8,A
280,1993-05,80.2,A
281,1993-06,80.0,A
282,1993-07,79.7,A
283,1993-08,81.3,A
284,1993-09,82.9,A
285,1993-10,84.3,A
286,1993-11,85.1,A
287,1993-12,86.2,A
288,1994-01,87.3,A
289,1994-02,89.1,A
290,1994-03,90.9,A
291,1994-04,92.8,A
292,1994-05,93.1,A
293,1994-06,93.9,A
294,1994-07,94.5,A
295,1994-08,96.4,A
296,1994-09,98.4,A
297,1994-10,100.3,A
298,1994-11,101.9,A
299,1994-12,102.5,A
300,1995-01,103.1,A
301,1995-02,102.7,A
302,1995-03,102.6,A
303,1995-04,102.2,A
304,1995-05,101.2,A
305,1995-06,100.4,A
306,1995-07,99.9,A
307,1995-08,101.0,A
308,1995-09,102.1,A
309,1995-10,103.0,A
310,1995-11,99.9,A
311,1995-12,97.3,A
312,1996-01,94.7,A
313,1996-02,94.9,A
314,1996-03,95.2,A
315,1996-04,95.4,A
316,1996-05,94.9,A
317,1996-06,94.5,A
318,1996-07,93.8,A
319,1996-08,93.8,A
320,1996-09,93.7,A
321,1996-10,93.1,A
322,1996-11,93.6,A
323,1996-12,95.3,A
324,1997-01,96.7,A
325,1997-02,97.4,A
326,1997-03,98.0,A
327,1997-04,98.4,A
328,1997-05,98.6,A
329,1997-06,99.2,A
330,1997-07,99.2,A
331,1997-08,99.5,A
332,1997-09,99.8,A
333,1997-10,100.0,A
334,1997-11,100.9,A
335,1997-12,101.5,A
336,1998-01,102.2,A
337,1998-02,103.7,A
338,1998-03,105.5,A
339,1998-04,107.0,A
340,1998-05,107.5,A
341,1998-06,108.4,A
342,1998-07,109.4,A
343,1998-08,107.9,A
344,1998-09,106.4,A
345,1998-10,105.4,A
346,1998-11,105.1,A
347,1998-12,104.5,A
348,1999-01,103.8,A
349,1999-02,105.0,A
350,1999-03,106.0,A
351,1999-04,107.1,A
352,1999-05,107.4,A
353,1999-06,107.9,A
354,1999-07,108.6,A
355,1999-08,111.0,A
356,1999-09,113.4,A
357,1999-10,115.7,A
358,1999-11,116.5,A
359,1999-12,117.0,A
360,2000-01,117.5,A
361,2000-02,115.7,A
362,2000-03,114.1,A
363,2000-04,112.5,A
364,2000-05,115.8,A
365,2000-06,119.1,A
366,2000-07,116.5,A
367,2000-08,118.1,A
368,2000-09,119.0,A
369,2000-10,119.2,A
370,2000-11,120.9,A
371,2000-12,119.5,A
372,2001-01,117.6,A
373,2001-02,118.2,A
374,2001-03,117.0,A
375,2001-04,116.0,A
376,2001-05,112.3,A
377,2001-06,110.4,A
378,2001-07,107.2,A
379,2001-08,107.3,A
380,2001-09,106.9,A
381,2001-10,107.3,A
382,2001-11,102.4,A
383,2001-12,104.3,A
384,2002-01,102.2,A
385,2002-02,100.6,A
386,2002-03,102.2,A
387,2002-04,105.9,A
388,2002-05,103.9,A
389,2002-06,102.6,A
390,2002-07,103.3,A
391,2002-08,101.0,A
392,2002-09,98.3,A
393,2002-10,95.2,A
394,2002-11,98.0,A
395,2002-12,97.1,A
396,2003-01,98.0,A
397,2003-02,96.0,A
398,2003-03,93.0,A
399,2003-04,91.7,A
400,2003-05,91.0,A
401,2003-06,93.0,A
402,2003-07,94.0,A
403,2003-08,94.5,A
404,2003-09,94.6,A
405,2003-10,95.0,A
406,2003-11,94.4,A
407,2003-12,97.0,A
408,2004-01,98.8,A
409,2004-02,97.6,A
410,2004-03,100.5,A
411,2004-04,101.0,A
412,2004-05,103.5,A
413,2004-06,101.0,A
414,2004-07,101.6,A
415,2004-08,101.7,A
416,2004-09,101.4,A
417,2004-10,102.7,A
418,2004-11,102.8,A
419,2004-12,101.7,A
420,2005-01,101.8,A
421,2005-02,101.6,A
422,2005-03,104.1,A
423,2005-04,101.6,A
424,2005-05,102.3,A
425,2005-06,101.9,A
426,2005-07,102.4,A
427,2005-08,103.0,A
428,2005-09,103.4,A
429,2005-10,103.7,A
430,2005-11,103.5,A
431,2005-12,102.9,A
432,2006-01,103.7,A
433,2006-02,103.9,A
434,2006-03,104.5,A
435,2006-04,106.7,A
436,2006-05,107.8,A
437,2006-06,109.6,A
438,2006-07,109.5,A
439,2006-08,108.8,A
440,2006-09,107.8,A
441,2006-10,108.5,A
442,2006-11,110.0,A
443,2006-12,110.5,A
444,2007-01,109.0,A
445,2007-02,111.0,A
446,2007-03,110.9,A
447,2007-04,111.5,A
448,2007-05,113.0,A
449,2007-06,112.6,A
450,2007-07,110.9,A
451,2007-08,112.2,A
452,2007-09,113.0,A
453,2007-10,111.2,A
454,2007-11,112.6,A
455,2007-12,114.1,A
456,2008-01,113.4,A
457,2008-02,113.6,A
458,2008-03,112.2,A
459,2008-04,112.4,A
460,2008-05,108.1,A
461,2008-06,104.8,A
462,2008-07,105.2,A
463,2008-08,101.0,A
464,2008-09,99.7,A
465,2008-10,95.2,A
466,2008-11,88.0,A
467,2008-12,83.0,A
468,2009-01,80.7,A
469,2009-02,79.2,A
470,2009-03,73.8,A
471,2009-04,74.3,A
472,2009-05,73.4,A
473,2009-06,74.7,A
474,2009-07,78.3,A
475,2009-08,83.0,A
476,2009-09,82.4,A
477,2009-10,84.2,A
478,2009-11,86.3,A
479,2009-12,88.6,A
480,2010-01,89.9,A
481,2010-02,90.6,A
482,2010-03,93.2,A
483,2010-04,95.3,A
484,2010-05,97.4,A
485,2010-06,98.5,A
486,2010-07,99.0,A
487,2010-08,99.3,A
488,2010-09,101.1,A
489,2010-10,103.5,A
490,2010-11,104.6,A
491,2010-12,105.2,A
492,2011-01,104.1,A
493,2011-02,109.9,A
494,2011-03,109.3,A
495,2011-04,109.6,A
496,2011-05,111.0,A
497,2011-06,111.3,A
498,2011-07,109.5,A
499,2011-08,105.5,A
500,2011-09,103.6,A
501,2011-10,100.8,A
502,2011-11,100.6,A
503,2011-12,99.0,A
504,2012-01,97.9,A
505,2012-02,97.5,A
506,2012-03,99.1,A
507,2012-04,97.8,A
508,2012-05,95.5,A
509,2012-06,94.1,A
510,2012-07,92.8,A
511,2012-08,93.6,A
512,2012-09,91.3,A
513,2012-10,91.7,A
514,2012-11,90.3,A
515,2012-12,89.9,A
516,2013-01,92.6,A
517,2013-02,89.3,A
518,2013-03,88.6,A
519,2013-04,87.2,A
520,2013-05,86.9,A
521,2013-06,89.3,A
522,2013-07,90.5,A
523,2013-08,90.8,A
524,2013-09,92.6,A
525,2013-10,94.8,A
526,2013-11,93.4,A
527,2013-12,95.3,A
528,2014-01,95.5,A
529,2014-02,94.8,A
530,2014-03,95.5,A
531,2014-04,98.0,A
532,2014-05,97.0,A
533,2014-06,95.4,A
534,2014-07,96.0,A
535,2014-08,94.5,A
536,2014-09,94.8,A
537,2014-10,94.6,A
538,2014-11,94.6,A
539,2014-12,94.6,A
540,2015-01,93.9,A
541,2015-02,96.0,A
542,2015-03,95.6,A
543,2015-04,97.4,A
544,2015-05,97.5,A
545,2015-06,99.2,A
546,2015-07,99.7,A
547,2015-08,100.4,A
548,2015-09,100.3,A
549,2015-10,100.4,A
550,2015-11,101.7,A
551,2015-12,100.6,A
552,2016-01,101.9,A
553,2016-02,100.7,A
554,2016-03,99.9,A
555,2016-04,100.7,A
556,2016-05,102.2,A
557,2016-06,101.6,A
558,2016-07,103.7,A
559,2016-08,103.2,A
560,2016-09,104.3,A
561,2016-10,104.5,A
562,2016-11,104.6,A
563,2016-12,106.3,A
564,2017-01,105.1,A
565,2017-02,104.6,A
566,2017-03,107.4,A
567,2017-04,106.3,A
568,2017-05,107.2,A
569,2017-06,107.7,A
570,2017-07,107.5,A
571,2017-08,105.7,A
572,2017-09,106.6,A
573,2017-10,108.0,A
574,2017-11,107.9,A
575,2017-12,108.6,A
576,2018-01,109.2,A
577,2018-02,110.0,A
578,2018-03,110.0,A
579,2018-04,109.0,A
580,2018-05,109.2,A
581,2018-06,110.0,A
582,2018-07,108.2,A
583,2018-08,107.4,A
584,2018-09,107.1,A
585,2018-10,106.7,A
586,2018-11,104.8,A
587,2018-12,104.6,A
588,2019-01,105.1,A
589,2019-02,107.1,A
590,2019-03,107.7,A
591,2019-04,107.4,A
592,2019-05,105.5,A
593,2019-06,106.5,A
594,2019-07,106.0,A
595,2019-08,105.2,A
596,2019-09,105.9,A
597,2019-10,105.1,A
598,2019-11,106.0,A
599,2019-12,106.1,A
600,2020-01,105.0,A
601,2020-02,105.1,A
602,2020-03,97.3,U
603,2020-04,51.7,U
604,2020-05,55.3,U
605,2020-06,67.5,U
606,2020-07,76.3,U
607,2020-08,87.8,U
608,2020-09,92.4,A
609,2020-10,89.2,A
610,2020-11,85.0,U
611,2020-12,86.3,A
612,2021-01,88.2,A
613,2021-02,86.0,A
614,2021-03,92.7,A
615,2021-04,92.4,A
616,2021-05,100.0,A
617,2021-06,104.5,A
618,2021-07,107.1,A
619,2021-08,107.4,A
620,2021-09,105.4,A
621,2021-10,109.8,A
622,2021-11,112.1,A
623,2021-12,109.4,A
624,2022-01,110.5,A
625,2022-02,113.2,A
626,2022-03,113.0,A
627,2022-04,110.6,A
628,2022-05,109.6,A
629,2022-06,107.5,A
630,2022-07,108.9,A
631,2022-08,107.1,A
632,2022-09,108.7,A
633,2022-10,109.3,A
634,2022-11,107.5,A
635,2022-12,110.6,A
