,Label,Consumer price index - Base 2015 - All households - France - Food,Codes
0,1970-01,,
1,1970-02,,
2,1970-03,,
3,1970-04,,
4,1970-05,,
5,1970-06,,
6,1970-07,,
7,1970-08,,
8,1970-09,,
9,1970-10,,
10,1970-11,,
11,1970-12,,
12,1971-01,,
13,1971-02,,
14,1971-03,,
15,1971-04,,
16,1971-05,,
17,1971-06,,
18,1971-07,,
19,1971-08,,
20,1971-09,,
21,1971-10,,
22,1971-11,,
23,1971-12,,
24,1972-01,,
25,1972-02,,
26,1972-03,,
27,1972-04,,
28,1972-05,,
29,1972-06,,
30,1972-07,,
31,1972-08,,
32,1972-09,,
33,1972-10,,
34,1972-11,,
35,1972-12,,
36,1973-01,,
37,1973-02,,
38,1973-03,,
39,1973-04,,
40,1973-05,,
41,1973-06,,
42,1973-07,,
43,1973-08,,
44,1973-09,,
45,1973-10,,
46,1973-11,,
47,1973-12,,
48,1974-01,,
49,1974-02,,
50,1974-03,,
51,1974-04,,
52,1974-05,,
53,1974-06,,
54,1974-07,,
55,1974-08,,
56,1974-09,,
57,1974-10,,
58,1974-11,,
59,1974-12,,
60,1975-01,,
61,1975-02,,
62,1975-03,,
63,1975-04,,
64,1975-05,,
65,1975-06,,
66,1975-07,,
67,1975-08,,
68,1975-09,,
69,1975-10,,
70,1975-11,,
71,1975-12,,
72,1976-01,,
73,1976-02,,
74,1976-03,,
75,1976-04,,
76,1976-05,,
77,1976-06,,
78,1976-07,,
79,1976-08,,
80,1976-09,,
81,1976-10,,
82,1976-11,,
83,1976-12,,
84,1977-01,,
85,1977-02,,
86,1977-03,,
87,1977-04,,
88,1977-05,,
89,1977-06,,
90,1977-07,,
91,1977-08,,
92,1977-09,,
93,1977-10,,
94,1977-11,,
95,1977-12,,
96,1978-01,,
97,1978-02,,
98,1978-03,,
99,1978-04,,
100,1978-05,,
101,1978-06,,
102,1978-07,,
103,1978-08,,
104,1978-09,,
105,1978-10,,
106,1978-11,,
107,1978-12,,
108,1979-01,,
109,1979-02,,
110,1979-03,,
111,1979-04,,
112,1979-05,,
113,1979-06,,
114,1979-07,,
115,1979-08,,
116,1979-09,,
117,1979-10,,
118,1979-11,,
119,1979-12,,
120,1980-01,,
121,1980-02,,
122,1980-03,,
123,1980-04,,
124,1980-05,,
125,1980-06,,
126,1980-07,,
127,1980-08,,
128,1980-09,,
129,1980-10,,
130,1980-11,,
131,1980-12,,
132,1981-01,,
133,1981-02,,
134,1981-03,,
135,1981-04,,
136,1981-05,,
137,1981-06,,
138,1981-07,,
139,1981-08,,
140,1981-09,,
141,1981-10,,
142,1981-11,,
143,1981-12,,
144,1982-01,,
145,1982-02,,
146,1982-03,,
147,1982-04,,
148,1982-05,,
149,1982-06,,
150,1982-07,,
151,1982-08,,
152,1982-09,,
153,1982-10,,
154,1982-11,,
155,1982-12,,
156,1983-01,,
157,1983-02,,
158,1983-03,,
159,1983-04,,
160,1983-05,,
161,1983-06,,
162,1983-07,,
163,1983-08,,
164,1983-09,,
165,1983-10,,
166,1983-11,,
167,1983-12,,
168,1984-01,,
169,1984-02,,
170,1984-03,,
171,1984-04,,
172,1984-05,,
173,1984-06,,
174,1984-07,,
175,1984-08,,
176,1984-09,,
177,1984-10,,
178,1984-11,,
179,1984-12,,
180,1985-01,,
181,1985-02,,
182,1985-03,,
183,1985-04,,
184,1985-05,,
185,1985-06,,
186,1985-07,,
187,1985-08,,
188,1985-09,,
189,1985-10,,
190,1985-11,,
191,1985-12,,
192,1986-01,,
193,1986-02,,
194,1986-03,,
195,1986-04,,
196,1986-05,,
197,1986-06,,
198,1986-07,,
199,1986-08,,
200,1986-09,,
201,1986-10,,
202,1986-11,,
203,1986-12,,
204,1987-01,,
205,1987-02,,
206,1987-03,,
207,1987-04,,
208,1987-05,,
209,1987-06,,
210,1987-07,,
211,1987-08,,
212,1987-09,,
213,1987-10,,
214,1987-11,,
215,1987-12,,
216,1988-01,,
217,1988-02,,
218,1988-03,,
219,1988-04,,
220,1988-05,,
221,1988-06,,
222,1988-07,,
223,1988-08,,
224,1988-09,,
225,1988-10,,
226,1988-11,,
227,1988-12,,
228,1989-01,,
229,1989-02,,
230,1989-03,,
231,1989-04,,
232,1989-05,,
233,1989-06,,
234,1989-07,,
235,1989-08,,
236,1989-09,,
237,1989-10,,
238,1989-11,,
239,1989-12,,
240,1990-01,67.57,A
241,1990-02,67.72,A
242,1990-03,67.72,A
243,1990-04,68.57,A
244,1990-05,68.57,A
245,1990-06,68.09,A
246,1990-07,67.64,A
247,1990-08,68.07,A
248,1990-09,68.53,A
249,1990-10,68.57,A
250,1990-11,68.46,A
251,1990-12,68.34,A
252,1991-01,68.97,A
253,1991-02,69.16,A
254,1991-03,69.57,A
255,1991-04,70.04,A
256,1991-05,70.35,A
257,1991-06,70.51,A
258,1991-07,70.65,A
259,1991-08,70.35,A
260,1991-09,70.21,A
261,1991-10,70.98,A
262,1991-11,71.47,A
263,1991-12,70.2,A
264,1992-01,70.69,A
265,1992-02,70.91,A
266,1992-03,71.13,A
267,1992-04,71.39,A
268,1992-05,71.68,A
269,1992-06,71.02,A
270,1992-07,70.34,A
271,1992-08,69.72,A
272,1992-09,70.09,A
273,1992-10,70.53,A
274,1992-11,70.59,A
275,1992-12,70.19,A
276,1993-01,70.8,A
277,1993-02,70.5,A
278,1993-03,71.15,A
279,1993-04,71.06,A
280,1993-05,71.17,A
281,1993-06,70.66,A
282,1993-07,70.52,A
283,1993-08,69.88,A
284,1993-09,70.15,A
285,1993-10,70.4,A
286,1993-11,70.7,A
287,1993-12,70.49,A
288,1994-01,70.44,A
289,1994-02,70.59,A
290,1994-03,70.67,A
291,1994-04,71.16,A
292,1994-05,71.69,A
293,1994-06,71.48,A
294,1994-07,71.35,A
295,1994-08,70.93,A
296,1994-09,71.39,A
297,1994-10,71.94,A
298,1994-11,71.52,A
299,1994-12,71.17,A
300,1995-01,71.94,A
301,1995-02,71.94,A
302,1995-03,72.13,A
303,1995-04,72.26,A
304,1995-05,72.58,A
305,1995-06,72.43,A
306,1995-07,72.09,A
307,1995-08,71.74,A
308,1995-09,71.75,A
309,1995-10,71.81,A
310,1995-11,72.09,A
311,1995-12,72.22,A
312,1996-01,72.51,A
313,1996-02,72.66,A
314,1996-03,73.32,A
315,1996-04,73.27,A
316,1996-05,73.73,A
317,1996-06,73.37,A
318,1996-07,73.26,A
319,1996-08,72.37,A
320,1996-09,72.53,A
321,1996-10,72.64,A
322,1996-11,72.95,A
323,1996-12,73.2,A
324,1997-01,74.36,A
325,1997-02,73.77,A
326,1997-03,73.44,A
327,1997-04,73.63,A
328,1997-05,74.2,A
329,1997-06,74.21,A
330,1997-07,74.41,A
331,1997-08,74.26,A
332,1997-09,74.5,A
333,1997-10,74.68,A
334,1997-11,75.15,A
335,1997-12,75.03,A
336,1998-01,75.03,A
337,1998-02,75.05,A
338,1998-03,75.16,A
339,1998-04,75.63,A
340,1998-05,76.01,A
341,1998-06,76.31,A
342,1998-07,75.92,A
343,1998-08,75.49,A
344,1998-09,75.42,A
345,1998-10,75.23,A
346,1998-11,75.42,A
347,1998-12,75.61,A
348,1999-01,76.07,A
349,1999-02,75.99,A
350,1999-03,76.14,A
351,1999-04,76.25,A
352,1999-05,76.46,A
353,1999-06,76.34,A
354,1999-07,75.82,A
355,1999-08,75.21,A
356,1999-09,75.34,A
357,1999-10,75.72,A
358,1999-11,76.08,A
359,1999-12,76.39,A
360,2000-01,76.57,A
361,2000-02,76.84,A
362,2000-03,76.84,A
363,2000-04,77.41,A
364,2000-05,77.73,A
365,2000-06,77.74,A
366,2000-07,77.57,A
367,2000-08,77.5,A
368,2000-09,77.7,A
369,2000-10,77.96,A
370,2000-11,78.49,A
371,2000-12,78.56,A
372,2001-01,79.07,A
373,2001-02,79.37,A
374,2001-03,80.29,A
375,2001-04,81.08,A
376,2001-05,82.46,A
377,2001-06,82.52,A
378,2001-07,82.62,A
379,2001-08,81.9,A
380,2001-09,82.01,A
381,2001-10,82.29,A
382,2001-11,82.1,A
383,2001-12,82.39,A
384,2002-01,83.85,A
385,2002-02,83.64,A
386,2002-03,83.68,A
387,2002-04,83.76,A
388,2002-05,83.99,A
389,2002-06,83.97,A
390,2002-07,83.51,A
391,2002-08,83.09,A
392,2002-09,83.2,A
393,2002-10,83.42,A
394,2002-11,83.45,A
395,2002-12,83.56,A
396,2003-01,84.31,A
397,2003-02,84.67,A
398,2003-03,85.04,A
399,2003-04,85.36,A
400,2003-05,85.35,A
401,2003-06,86.06,A
402,2003-07,85.74,A
403,2003-08,85.6,A
404,2003-09,86.26,A
405,2003-10,85.92,A
406,2003-11,85.82,A
407,2003-12,85.56,A
408,2004-01,86.07,A
409,2004-02,85.72,A
410,2004-03,86.26,A
411,2004-04,86.64,A
412,2004-05,86.87,A
413,2004-06,87.27,A
414,2004-07,86.4,A
415,2004-08,85.13,A
416,2004-09,85.25,A
417,2004-10,85.26,A
418,2004-11,85.43,A
419,2004-12,85.64,A
420,2005-01,85.64,A
421,2005-02,86.09,A
422,2005-03,86.83,A
423,2005-04,86.51,A
424,2005-05,86.85,A
425,2005-06,86.65,A
426,2005-07,86.01,A
427,2005-08,85.41,A
428,2005-09,85.45,A
429,2005-10,85.6,A
430,2005-11,85.89,A
431,2005-12,86.22,A
432,2006-01,86.59,A
433,2006-02,87.0,A
434,2006-03,87.11,A
435,2006-04,87.3,A
436,2006-05,87.88,A
437,2006-06,87.87,A
438,2006-07,87.66,A
439,2006-08,87.28,A
440,2006-09,87.6,A
441,2006-10,87.33,A
442,2006-11,87.87,A
443,2006-12,87.71,A
444,2007-01,87.98,A
445,2007-02,87.63,A
446,2007-03,87.58,A
447,2007-04,88.29,A
448,2007-05,88.69,A
449,2007-06,89.01,A
450,2007-07,88.4,A
451,2007-08,88.29,A
452,2007-09,88.77,A
453,2007-10,89.23,A
454,2007-11,89.83,A
455,2007-12,90.39,A
456,2008-01,91.68,A
457,2008-02,91.86,A
458,2008-03,92.26,A
459,2008-04,92.87,A
460,2008-05,93.77,A
461,2008-06,93.95,A
462,2008-07,94.02,A
463,2008-08,92.91,A
464,2008-09,92.98,A
465,2008-10,93.43,A
466,2008-11,93.27,A
467,2008-12,93.31,A
468,2009-01,93.88,A
469,2009-02,93.92,A
470,2009-03,93.79,A
471,2009-04,93.85,A
472,2009-05,94.13,A
473,2009-06,93.61,A
474,2009-07,92.96,A
475,2009-08,92.28,A
476,2009-09,92.7,A
477,2009-10,93.1,A
478,2009-11,93.16,A
479,2009-12,93.05,A
480,2010-01,93.94,A
481,2010-02,94.01,A
482,2010-03,94.34,A
483,2010-04,94.7,A
484,2010-05,94.95,A
485,2010-06,94.8,A
486,2010-07,94.29,A
487,2010-08,93.46,A
488,2010-09,93.48,A
489,2010-10,93.57,A
490,2010-11,93.99,A
491,2010-12,94.15,A
492,2011-01,94.01,A
493,2011-02,94.3,A
494,2011-03,95.1,A
495,2011-04,95.25,A
496,2011-05,96.21,A
497,2011-06,96.45,A
498,2011-07,96.31,A
499,2011-08,96.16,A
500,2011-09,96.36,A
501,2011-10,96.71,A
502,2011-11,96.98,A
503,2011-12,97.25,A
504,2012-01,97.34,A
505,2012-02,97.89,A
506,2012-03,98.58,A
507,2012-04,98.58,A
508,2012-05,99.14,A
509,2012-06,99.54,A
510,2012-07,98.93,A
511,2012-08,98.45,A
512,2012-09,98.66,A
513,2012-10,99.5,A
514,2012-11,99.51,A
515,2012-12,99.49,A
516,2013-01,99.43,A
517,2013-02,99.52,A
518,2013-03,100.0,A
519,2013-04,100.3,A
520,2013-05,100.92,A
521,2013-06,101.36,A
522,2013-07,100.69,A
523,2013-08,100.25,A
524,2013-09,99.79,A
525,2013-10,99.69,A
526,2013-11,99.78,A
527,2013-12,99.88,A
528,2014-01,99.8,A
529,2014-02,99.67,A
530,2014-03,99.86,A
531,2014-04,99.7,A
532,2014-05,100.03,A
533,2014-06,99.82,A
534,2014-07,99.28,A
535,2014-08,98.75,A
536,2014-09,99.18,A
537,2014-10,99.54,A
538,2014-11,99.53,A
539,2014-12,99.46,A
540,2015-01,99.55,A
541,2015-02,99.74,A
542,2015-03,99.95,A
543,2015-04,99.97,A
544,2015-05,100.42,A
545,2015-06,100.18,A
546,2015-07,99.65,A
547,2015-08,99.56,A
548,2015-09,100.06,A
549,2015-10,100.55,A
550,2015-11,100.34,A
551,2015-12,100.03,A
552,2016-01,99.93,A
553,2016-02,99.9,A
554,2016-03,100.36,A
555,2016-04,100.36,A
556,2016-05,101.39,A
557,2016-06,100.76,A
558,2016-07,100.87,A
559,2016-08,101.04,A
560,2016-09,100.53,A
561,2016-10,100.47,A
562,2016-11,100.62,A
563,2016-12,100.75,A
564,2017-01,101.2,A
565,2017-02,101.46,A
566,2017-03,101.17,A
567,2017-04,101.11,A
568,2017-05,101.84,A
569,2017-06,101.55,A
570,2017-07,101.62,A
571,2017-08,101.67,A
572,2017-09,101.6,A
573,2017-10,102.02,A
574,2017-11,102.12,A
575,2017-12,102.1,A
576,2018-01,102.43,A
577,2018-02,102.29,A
578,2018-03,102.66,A
579,2018-04,102.72,A
580,2018-05,103.64,A
581,2018-06,103.46,A
582,2018-07,103.59,A
583,2018-08,103.88,A
584,2018-09,104.46,A
585,2018-10,104.3,A
586,2018-11,104.11,A
587,2018-12,104.7,A
588,2019-01,105.23,A
589,2019-02,105.41,A
590,2019-03,105.2,A
591,2019-04,105.27,A
592,2019-05,105.99,A
593,2019-06,106.1,A
594,2019-07,106.66,A
595,2019-08,107.15,A
596,2019-09,106.62,A
597,2019-10,106.15,A
598,2019-11,106.28,A
599,2019-12,106.87,A
600,2020-01,107.32,A
601,2020-02,107.29,A
602,2020-03,107.23,A
603,2020-04,109.16,A
604,2020-05,109.7,A
605,2020-06,108.85,A
606,2020-07,107.85,A
607,2020-08,108.08,A
608,2020-09,107.57,A
609,2020-10,107.74,A
610,2020-11,108.41,A
611,2020-12,107.99,A
612,2021-01,108.4,A
613,2021-02,108.19,A
614,2021-03,108.24,A
615,2021-04,108.84,A
616,2021-05,109.41,A
617,2021-06,108.65,A
618,2021-07,108.77,A
619,2021-08,109.48,A
620,2021-09,108.65,A
621,2021-10,108.47,A
622,2021-11,108.9,A
623,2021-12,109.46,A
624,2022-01,110.07,A
625,2022-02,110.45,A
626,2022-03,111.42,A
627,2022-04,113.03,A
628,2022-05,114.11,A
629,2022-06,114.99,A
630,2022-07,116.14,A
631,2022-08,118.09,A
632,2022-09,119.39,A
633,2022-10,121.47,A
634,2022-11,122.1,A
635,2022-12,122.68,A
