Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Codes
1988-01-01,25.2,A
1988-02-01,25.2,O
1988-03-01,25.2,O
1988-04-01,27.5,A
1988-05-01,27.5,O
1988-06-01,27.5,O
1988-07-01,11.9,A
1988-08-01,11.9,O
1988-09-01,11.9,O
1988-10-01,21.5,A
1988-11-01,21.5,O
1988-12-01,21.5,O
1989-01-01,17.4,A
1989-02-01,17.4,O
1989-03-01,17.4,O
1989-04-01,22.5,A
1989-05-01,22.5,O
1989-06-01,22.5,O
1989-07-01,17.6,A
1989-08-01,17.6,O
1989-09-01,17.6,O
1989-10-01,17.2,A
1989-11-01,17.2,O
1989-12-01,17.2,O
1990-01-01,19.2,A
1990-02-01,19.2,O
1990-03-01,19.2,O
1990-04-01,17.4,A
1990-05-01,17.4,O
1990-06-01,17.4,O
1990-07-01,15.4,A
1990-08-01,15.4,O
1990-09-01,15.4,O
1990-10-01,4.9,A
1990-11-01,4.9,O
1990-12-01,4.9,O
1991-01-01,3.7,A
1991-02-01,3.7,O
1991-03-01,3.7,O
1991-04-01,-11.8,A
1991-05-01,-11.8,O
1991-06-01,-11.8,O
1991-07-01,-2.9,A
1991-08-01,-2.9,O
1991-09-01,-2.9,O
1991-10-01,-2.6,A
1991-11-01,-2.6,O
1991-12-01,-2.6,O
1992-01-01,-7.5,A
1992-02-01,-7.5,O
1992-03-01,-7.5,O
1992-04-01,-2.9,A
1992-05-01,-2.9,O
1992-06-01,-2.9,O
1992-07-01,-10.2,A
1992-08-01,-10.2,O
1992-09-01,-10.2,O
1992-10-01,-6.8,A
1992-11-01,-6.8,O
1992-12-01,-6.8,O
1993-01-01,-16.3,A
1993-02-01,-16.3,O
1993-03-01,-16.3,O
1993-04-01,-22.9,A
1993-05-01,-22.9,O
1993-06-01,-22.9,O
1993-07-01,-12.4,A
1993-08-01,-12.4,O
1993-09-01,-12.4,O
1993-10-01,-13.3,A
1993-11-01,-13.3,O
1993-12-01,-13.3,O
1994-01-01,-5.1,A
1994-02-01,-5.1,O
1994-03-01,-5.1,O
1994-04-01,2.4,A
1994-05-01,2.4,O
1994-06-01,2.4,O
1994-07-01,1.8,A
1994-08-01,1.8,O
1994-09-01,1.8,O
1994-10-01,3.1,A
1994-11-01,3.1,O
1994-12-01,3.1,O
1995-01-01,7.5,A
1995-02-01,7.5,O
1995-03-01,7.5,O
1995-04-01,3.8,A
1995-05-01,3.8,O
1995-06-01,3.8,O
1995-07-01,1.7,A
1995-08-01,1.7,O
1995-09-01,1.7,O
1995-10-01,-4.0,A
1995-11-01,-4.0,O
1995-12-01,-4.0,O
1996-01-01,-10.1,A
1996-02-01,-10.1,O
1996-03-01,-10.1,O
1996-04-01,2.6,A
1996-05-01,2.6,O
1996-06-01,2.6,O
1996-07-01,-7.1,A
1996-08-01,-7.1,O
1996-09-01,-7.1,O
1996-10-01,-4.2,A
1996-11-01,-4.2,O
1996-12-01,-4.2,O
1997-01-01,-1.1,A
1997-02-01,-1.1,O
1997-03-01,-1.1,O
1997-04-01,4.3,A
1997-05-01,4.3,O
1997-06-01,4.3,O
1997-07-01,2.1,A
1997-08-01,2.1,O
1997-09-01,2.1,O
1997-10-01,4.6,A
1997-11-01,4.6,O
1997-12-01,4.6,O
1998-01-01,7.0,A
1998-02-01,7.0,O
1998-03-01,7.0,O
1998-04-01,5.4,A
1998-05-01,5.4,O
1998-06-01,5.4,O
1998-07-01,10.9,A
1998-08-01,10.9,O
1998-09-01,10.9,O
1998-10-01,9.4,A
1998-11-01,9.4,O
1998-12-01,9.4,O
1999-01-01,7.4,A
1999-02-01,7.4,O
1999-03-01,7.4,O
1999-04-01,0.1,A
1999-05-01,0.1,O
1999-06-01,0.1,O
1999-07-01,10.1,A
1999-08-01,10.1,O
1999-09-01,10.1,O
1999-10-01,12.4,A
1999-11-01,12.4,O
1999-12-01,12.4,O
2000-01-01,12.5,A
2000-02-01,12.5,O
2000-03-01,12.5,O
2000-04-01,6.6,A
2000-05-01,6.6,O
2000-06-01,14.5,A
2000-07-01,14.1,A
2000-08-01,12.3,A
2000-09-01,11.8,A
2000-10-01,12.2,A
2000-11-01,13.1,A
2000-12-01,13.2,A
2001-01-01,13.0,A
2001-02-01,14.6,A
2001-03-01,15.1,A
2001-04-01,12.3,A
2001-05-01,10.1,A
2001-06-01,8.9,A
2001-07-01,6.9,A
2001-08-01,7.5,A
2001-09-01,9.1,A
2001-10-01,0.1,A
2001-11-01,-2.6,A
2001-12-01,-7.5,A
2002-01-01,-5.8,A
2002-02-01,-6.7,A
2002-03-01,-1.4,A
2002-04-01,3.0,A
2002-05-01,5.7,A
2002-06-01,-2.3,A
2002-07-01,-5.0,A
2002-08-01,-4.6,A
2002-09-01,-3.3,A
2002-10-01,-1.5,A
2002-11-01,-1.0,A
2002-12-01,3.9,A
2003-01-01,-0.7,A
2003-02-01,-0.1,A
2003-03-01,-5.8,A
2003-04-01,-5.5,A
2003-05-01,-6.4,A
2003-06-01,-6.9,A
2003-07-01,-5.0,A
2003-08-01,-4.2,A
2003-09-01,-2.8,A
2003-10-01,-2.3,A
2003-11-01,0.2,A
2003-12-01,5.1,A
2004-01-01,4.6,A
2004-02-01,6.4,A
2004-03-01,6.5,A
2004-04-01,3.0,A
2004-05-01,6.1,A
2004-06-01,7.0,A
2004-07-01,8.4,A
2004-08-01,7.9,A
2004-09-01,7.6,A
2004-10-01,7.5,A
2004-11-01,6.3,A
2004-12-01,4.2,A
2005-01-01,6.3,A
2005-02-01,1.9,A
2005-03-01,5.5,A
2005-04-01,7.3,A
2005-05-01,3.9,A
2005-06-01,9.4,A
2005-07-01,10.4,A
2005-08-01,10.3,A
2005-09-01,10.4,A
2005-10-01,9.0,A
2005-11-01,9.3,A
2005-12-01,3.5,A
2006-01-01,9.4,A
2006-02-01,10.0,A
2006-03-01,9.6,A
2006-04-01,11.5,A
2006-05-01,13.6,A
2006-06-01,13.1,A
2006-07-01,11.7,A
2006-08-01,10.6,A
2006-09-01,10.2,A
2006-10-01,14.5,A
2006-11-01,13.7,A
2006-12-01,13.4,A
2007-01-01,14.1,A
2007-02-01,7.2,A
2007-03-01,13.4,A
2007-04-01,13.7,A
2007-05-01,16.7,A
2007-06-01,13.9,A
2007-07-01,11.8,A
2007-08-01,11.7,A
2007-09-01,13.1,A
2007-10-01,16.0,A
2007-11-01,13.8,A
2007-12-01,12.9,A
2008-01-01,11.0,A
2008-02-01,10.6,A
2008-03-01,15.4,A
2008-04-01,13.0,A
2008-05-01,9.6,A
2008-06-01,9.1,A
2008-07-01,3.0,A
2008-08-01,2.8,A
2008-09-01,0.3,A
2008-10-01,-6.8,A
2008-11-01,-3.8,A
2008-12-01,-10.4,A
2009-01-01,-16.3,A
2009-02-01,-16.5,A
2009-03-01,-21.9,A
2009-04-01,-26.9,A
2009-05-01,-21.5,A
2009-06-01,-22.7,A
2009-07-01,-16.4,A
2009-08-01,-9.9,A
2009-09-01,-9.8,A
2009-10-01,-10.4,A
2009-11-01,-9.1,A
2009-12-01,-7.0,A
2010-01-01,-3.5,A
2010-02-01,-4.0,A
2010-03-01,-4.3,A
2010-04-01,-2.2,A
2010-05-01,2.0,A
2010-06-01,1.9,A
2010-07-01,7.0,A
2010-08-01,7.5,A
2010-09-01,5.4,A
2010-10-01,6.8,A
2010-11-01,5.8,A
2010-12-01,6.5,A
2011-01-01,9.7,A
2011-02-01,11.3,A
2011-03-01,11.0,A
2011-04-01,9.6,A
2011-05-01,6.7,A
2011-06-01,8.8,A
2011-07-01,10.1,A
2011-08-01,6.9,A
2011-09-01,3.7,A
2011-10-01,-2.5,A
2011-11-01,-0.6,A
2011-12-01,-1.3,A
2012-01-01,1.6,A
2012-02-01,0.7,A
2012-03-01,0.9,A
2012-04-01,-1.9,A
2012-05-01,-4.0,A
2012-06-01,-4.7,A
2012-07-01,-10.3,A
2012-08-01,-9.8,A
2012-09-01,-14.7,A
2012-10-01,-12.6,A
2012-11-01,-11.7,A
2012-12-01,-10.1,A
2013-01-01,-12.6,A
2013-02-01,-13.7,A
2013-03-01,-14.0,A
2013-04-01,-15.9,A
2013-05-01,-15.8,A
2013-06-01,-11.0,A
2013-07-01,-12.7,A
2013-08-01,-15.0,A
2013-09-01,-10.5,A
2013-10-01,-7.1,A
2013-11-01,-5.4,A
2013-12-01,-6.7,A
2014-01-01,-6.4,A
2014-02-01,-5.8,A
2014-03-01,-4.2,A
2014-04-01,-2.4,A
2014-05-01,-2.6,A
2014-06-01,-6.3,A
2014-07-01,-5.0,A
2014-08-01,-7.5,A
2014-09-01,-4.6,A
2014-10-01,-5.6,A
2014-11-01,-6.8,A
2014-12-01,-7.2,A
2015-01-01,-8.8,A
2015-02-01,-9.9,A
2015-03-01,-11.6,A
2015-04-01,-8.9,A
2015-05-01,-5.7,A
2015-06-01,-5.8,A
2015-07-01,-3.2,A
2015-08-01,-1.7,A
2015-09-01,-1.7,A
2015-10-01,2.4,A
2015-11-01,0.3,A
2015-12-01,-4.3,A
2016-01-01,-2.2,A
2016-02-01,-0.2,A
2016-03-01,0.1,A
2016-04-01,-0.1,A
2016-05-01,1.1,A
2016-06-01,0.0,A
2016-07-01,-0.8,A
2016-08-01,0.1,A
2016-09-01,-2.1,A
2016-10-01,0.0,A
2016-11-01,-0.5,A
2016-12-01,2.1,A
2017-01-01,3.7,A
2017-02-01,3.8,A
2017-03-01,7.8,A
2017-04-01,4.0,A
2017-05-01,1.3,A
2017-06-01,1.9,A
2017-07-01,3.4,A
2017-08-01,7.4,A
2017-09-01,9.7,A
2017-10-01,10.4,A
2017-11-01,11.4,A
2017-12-01,12.2,A
2018-01-01,13.9,A
2018-02-01,8.7,A
2018-03-01,7.1,A
2018-04-01,6.4,A
2018-05-01,1.6,A
2018-06-01,5.9,A
2018-07-01,4.1,A
2018-08-01,2.1,A
2018-09-01,2.4,A
2018-10-01,1.2,A
2018-11-01,3.4,A
2018-12-01,3.2,A
2019-01-01,3.2,A
2019-02-01,2.4,A
2019-03-01,3.0,A
2019-04-01,5.5,A
2019-05-01,7.1,A
2019-06-01,6.4,A
2019-07-01,6.3,A
2019-08-01,5.1,A
2019-09-01,4.7,A
2019-10-01,3.6,A
2019-11-01,2.1,A
2019-12-01,5.9,A
2020-01-01,5.9,A
2020-02-01,11.1,A
2020-03-01,4.4,U
2020-04-01,-23.2,U
2020-05-01,-52.4,U
2020-06-01,-63.1,U
2020-07-01,-56.8,U
2020-08-01,-24.5,U
2020-09-01,1.0,A
2020-10-01,4.7,A
2020-11-01,6.2,A
2020-12-01,-7.0,A
2021-01-01,-10.4,A
2021-02-01,-9.1,A
2021-03-01,-8.9,A
2021-04-01,-5.3,A
2021-05-01,-2.4,A
2021-06-01,3.3,A
2021-07-01,8.3,A
2021-08-01,10.0,A
2021-09-01,10.7,A
2021-10-01,12.9,A
2021-11-01,16.8,A
2021-12-01,15.4,A
2022-01-01,12.6,A
2022-02-01,9.2,A
2022-03-01,8.0,A
2022-04-01,8.4,A
2022-05-01,9.8,A
2022-06-01,14.6,A
2022-07-01,13.5,A
2022-08-01,13.8,A
2022-09-01,6.3,A
2022-10-01,8.9,A
2022-11-01,6.4,A
2022-12-01,6.6,A
